well_id,layer_group,y_coordinate,x_coordinate,mean_perforation_depth,porosity,permeability,water_saturation
W0641,L14,240582.0512,120085.1273,1762.7105,0.39,30.28,0.5031372
W0642,L14,240466.9529,120693.7502,1745.336,0.365,31.11,0.5931726
W0643,L14,239980.675,118889.6098,1771.31,0.39,56.84,0.4903244
W0644,L12,241341.9953,118130.7366,1682.0975,0.29,7.04,0.5425675
W0645,L14,240016.6781,119525.1096,1765.9865,0.3775,21.98,0.5377445
W0646,L14,239976.555,120193.1825,1768.3265,0.3775,26.96,0.5286354
W0647,L07,240025.0819,120865.574,1562.1725,0.4025,33.6,0.4069593
W0648,L14,239500.3102,118976.1208,1710.002,0.3775,39.41,0.5016539
W0649,L14,239363.8693,120085.6534,1769.321,0.39,28.62,0.5323937
W0650,L15,239867.3278,119001.0674,1798.454,0.34,12.02,0.7054939
W0651,L13,239892.2155,119603.3725,1732.0565,0.365,19.49,0.5776389
W0652,L15,239898.5086,120225.6998,1804.772,0.315,13.68,0.7004434
W0654,L12,241334.0095,118964.9169,1714.097,0.3775,32.77,0.6149671
W0655,L13,240499.1839,120126.0356,1699.355,0.39,41.07,0.5232209
W0656,L13,239686.1015,119077.7791,1666.6535,0.3775,29.45,0.6113453
W0657,L13,239604.2533,119655.5865,1657.235,0.39,32.77,0.4807876
W0659,L12,241263.3413,119921.4599,1729.658,0.44,50.2,0.4402926
W0660,L12,240291.2373,119084.0651,1663.553,0.365,51.03,0.5222927
W0661,L12,240269.4899,119027.9543,1641.557,0.3525,39.41,0.4997247
W0663,L12,240194.198,119850.7474,1654.9535,0.2775,16.17,0.6912979
W0664,L12,240163.4138,119972.2376,1642.376,0.0,19.49,0.6844638
W0665,L12,240076.4099,119882.5349,1616.9285,0.29,18.66,0.6617411
W0666,L12,239478.2498,118667.6901,1657.001,0.3025,16.17,0.6468808
W0667,L12,239804.8299,118852.329,1644.1895,0.29,15.34,0.7000248
W0668,L12,239459.8191,118592.5517,1626.464,0.29,16.17,0.6468626
W0669,L12,239263.765,119150.2383,1588.3805,0.39,46.05,0.4611953
W0672,L02,241279.4859,121103.7062,1263.0035,0.44,35.26,0.4676108
W0675,L12,239528.8129,119699.5379,1653.7835,0.34,9.53,0.6327576
W0676,L04,239607.2174,119683.7798,1380.413,0.315,7.04,0.6247041
W0677,L12,239509.3443,120039.263,1627.3415,0.3775,16.17,0.5395918
W0678,L12,239384.0651,119423.2059,1645.7105,0.365,0.0,0.5746177
W0679,L12,239784.7733,119717.0167,1636.877,0.365,19.49,0.5524137
W0680,L12,239447.0857,120762.2062,1651.0925,0.3275,10.36,0.5620233
W0681,L12,239834.3623,118901.822,1660.043,0.315,21.98,0.6432681
W0684,L13,240676.9754,119620.0505,1688.6495,0.39,36.92,0.5404381
